Term ID,Category Name,Category Slug,Parent Term ID,Category Description,Display Type,Category Image
481,Foppapedretti Folding,foppapedretti-folding,408,,,
480,Foppapedretti Passenger,foppapedretti-passenger,408,,,
479,Jucarii Carucior,jucarii-carucior-pentru-afara,366,,,
478,15-36kg,15-36kg,409,,,
477,9-36kg,9-36kg,409,,,
476,9-25kg,9-25kg,409,,,
475,0-18kg,0-18kg,409,,,
474,Foppapedretti Myo Tronic,foppapedretti-myo-tronic,407,,,
473,Foppapedretti Tres,foppapedretti-tres,407,,,
472,Foppapedretti 3CHIC,foppapedretti-3chic,407,,,
471,Foppapedretti Tuo,foppapedretti-tuo,407,,,
470,Foppapedretti Myo,foppapedretti-myo,407,,,
469,Set Lenjerii Pat,set-lenjerii-pat,394,,,
468,Set Protectie Pat,set-protectie-pat,394,,,
467,Igiena,igiena,392,,,
466,Cadite,cadite,392,,,
465,Olite,olite,392,,,
464,Halate,halate,391,,,
463,Prosoape,prosoape,391,,,
462,Rame Foto Decor,rame-foto-decor,389,,,
461,Rame Foto Amprenta,rame-foto-amprenta,389,,,
460,Cosuri Jucarii,cosuri-jucarii,388,,,
459,Cosuri Transport,cosuri-transport-cosuri-bebe,388,,,
458,Mio Verde,mio-verde,385,,,
457,Gio Lila,gio-lila,385,,,
456,Lilo Bleu,lilo-bleu,385,,,
455,Puccio Bleu,puccio-bleu,381,,,
454,Puccio Roz,puccio-roz,381,,,
453,Colectia Tippy Jolie,colectia-tippy-jolie,374,,,
452,Colectia Tippy,colectia-tippy,374,,,
451,Colectia Tiffany,colectia-tiffany,374,,,
450,Colectia Sonia,colectia-sonia,374,,,
449,Colectia Soft,colectia-soft,374,,,
448,Colectia Royal,colectia-royal,374,,,
447,Colectia Romantico,colectia-romantico,374,,,
446,Colectia Nuvola,colectia-nuvola,374,,,
445,Colectia Lulu,colectia-lulu,374,,,
444,Colectia Lilo Gio,colectia-lilo-gio,374,,,
443,Colectia Incanto,colectia-incanto,374,,,
442,Colectia Fiocco,colectia-fiocco,374,,,
441,Colectia Elite,colectia-elite,374,,,
440,Colectia Elegance,colectia-elegance,374,,,
439,Colectia Duo,colectia-duo,374,,,
438,Colectia Dormiglione,colectia-dormiglione,374,,,
437,Colectia Dolce,colectia-dolce,374,,,
436,Colectia Cuoricino,colectia-cuoricino,374,,,
435,Colectia Cuore,colectia-cuore,374,,,
434,Colectia Cucu Stellina,colectia-cucu-stellina,374,,,
433,Colectia Cucu,colectia-cucu,374,,,
432,Colectia Cucciolo,colectia-cucciolo,374,,,
431,Colectia Bubu,colectia-bubu,374,,,
430,Colectia Brigette,colectia-brigette,374,,,
429,Colectia Bijoux,colectia-bijoux,374,,,
428,Colectia Bella Orsetti,colectia-bella-orsetti,374,,,
427,Colectia Bella,colectia-bella,374,,,
426,Colectia Amour,colectia-amour,374,,,
425,Colectia Amici,colectia-amici,374,,,
424,Colectia Abbraccio,colectia-abbraccio,374,,,
423,Colectia Flic,colectia-flic,374,,,
420,Hainute Bebe 12-24 Luni,hainute-bebe-12-24-luni,369,,products,http://bebe.wphit.com/wp-content/uploads/2015/03/Hainute-Bebe-12-24-luni-Baiat-Fata.jpg
419,Hainute Bebe 6-12 Luni,hainute-bebe-6-12-luni,369,,products,http://bebe.wphit.com/wp-content/uploads/2015/03/Hainute-Bebe-6-12-luni-Copii-Fata-Baiat.jpg
418,Hainute Bebe 1-6 Luni,hainute-bebe-1-6-luni,369,,products,http://bebe.wphit.com/wp-content/uploads/2015/03/Hainute-Bebe-1-6-luni-copii-bebelusi.jpg
417,Maternitate 0-1 luna,maternitate-0-1-luna,369,,products,http://bebe.wphit.com/wp-content/uploads/2015/03/Maternitate-0-1-luni-body-bebelusi-copii.jpg
416,Papusi Vanilate,papusi-vanilate,368,,products,http://bebe.wphit.com/wp-content/uploads/2015/03/Papusi-Vanilate-Moi-Pentru-Copii-Spania.jpg
415,Carusele si Jucarii,carusele-si-jucarii-cadouri,368,,products,http://bebe.wphit.com/wp-content/uploads/2015/03/Carusele-Jucarii-Muzicale-Bebelusi-Copii.png
414,Jucarii Sunete Materne,jucarii-sunete-materne,368,,products,http://bebe.wphit.com/wp-content/uploads/2015/03/Jucarii-Sunete-Materne-din-Plus.jpg
413,Jucarii Termice,jucarii-termice-cadouri,368,,products,http://bebe.wphit.com/wp-content/uploads/2015/03/Jucarii-Termice-Copii-Calmat-Dureri.jpg
