product_content,product_name,product_slug,product_category,product_tag,visibility,featured_image,stock_status,regular_price,sku,upsell_ids,crosssell_ids,sale_price_dates_from,sale_price_dates_to,price,sold_individually
,Jucarii Patut,jucarii-patut-2,,,1,,In stoc,,,,,,,,79
,Accesorii,accesorii,,,1,http://www.camerabebelusului.ro/wp-content/uploads/2015/01/Baza-isofix-pentru-scoica-auto.png,In stoc,,,,,,,,100
,Argintarie,argintarie,,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/06/ARGINTARIE-BEBELUSI.png,In stoc,,,,,,,,
"<strong>Dimensiuni:

Lungime: 127 cm
Latime: 63 cm
Grosime: 10 cm</strong>",Saltea KID - Cu spuma,saltea-kid-cu-spuma-6,Saltele si Perne,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/05/kidtex_0020_spring_0020_mattress.jpg,In stoc,299,112500,,,,,,299
,Colectia Petit,colectia-petit,,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/09/COLECTIA-PETIT-ERBESI-ITALIA.png,In stoc,,,,,,,,1061
,Promotii Mobilier,promotii-mobilier,,,1,http://www.camerabebelusului.ro/wp-content/uploads/2014/08/SALE.png,In stoc,,,,,,,,1603
"Mobila pentru dormitor bebelus format din patut bebe lemn, comoda bebelus cu sertare si masa de infasat, cabinet bebelus, dulap hainute pentru umerase. ",Colectia Coccollo,camera-bebe-coccollo,,,1,http://www.camerabebelusului.ro/wp-content/uploads/2013/07/COLECTIA-COCCOLLO-POZA-TITLU.png,In stoc,,,,,,,,1134
"<strong>Dimensiuni:

L 135 cm
P 71 cm
H 103 cm</strong>",Patut Coccollo Bianco,patut-coccolo,Patuturi,,1,http://www.camerabebelusului.ro/wp-content/uploads/2013/07/PATUT-BEBELUSI-COCCOLLO-ERBESI-ITALIA-ALB.png,In stoc,1790,112589,,,,,,1611
"<strong>Dimensiuni:

L 81 cm
P 48 cm
H 100,5 cm</strong>",Comoda Coccollo Bianco,comoda-coccolo,Comode,,1,http://www.camerabebelusului.ro/wp-content/uploads/2013/07/COMODA-BEBELUSI-COCCOLLO-ERBESI-ITALIA-ALBA.png,In stoc,1260,,,,,,,1134
"Mayoral combina practica si stilul cu aceasta geanta haioasa din piele.
Are o multime de buzunare si compartimente tocmai bune pentru a depozita tot ce are nevoie copilasul tau.
Se poate purta pe umar cu o curelusa reglabila pe masura care ti se potriveste sau o poti atasa la carucior.
Eleganta si spatioasa.",Geanta Mayoral,geanta,Genti Carucior,,1,http://www.camerabebelusului.ro/wp-content/uploads/2013/08/50118-v1.jpg,In stoc,250,112016,,,,,,250
"<strong>Geanta Mayoral laminata alba cu dungi bleu
Compartimente variate
Se poate tine de mana, agata de umar sau se poate atasa de carucior
Eleganta si spatioasa
Masuri: 27cm x 40cm x 15cm</strong>",Geanta Mayoral Stripe,geanta-mayoral-stripe,Genti Carucior,,1,http://www.camerabebelusului.ro/wp-content/uploads/2013/08/4938.jpg,In stoc,300,112139,,,,,,250
"Suport pentru biberon din piele alba cu buline in bej. 
Se păstrează temperatura de biberon pentru un timp mai lung.
Manerul este ideal pentru carucior sau mana
Dimensiuni:
9x9x23 cm",Gentuta Biberon Pasito a Pasito,gentuta-biberon-pasito-a-pasito,Genti Carucior,,1,http://www.camerabebelusului.ro/wp-content/uploads/2013/08/1342274937_HJKL1.jpg,In stoc,100,112136,,,,,,80
"Această husa practică matlasata va ajuta sa schimbati copilul de cate ori aveti nevoie, oriunde v-ati afla.
Se pliază cu ușurință pentru a se potrivi în geanta pentru schimbare si accesorii pentru a va insoti in toate calatoriile dumneavoastra 
Dimensiune desfasurata: 76cm ​​x 55cm
",Mayoral Husa schimbat bebe,666,Genti Carucior,,1,http://www.camerabebelusului.ro/wp-content/uploads/2013/08/geanta-bleumarin.png,In stoc,,112135,,,,,,80
"<strong>Crib 

L 131 cm
P 70,5 cm
H 102 cm</strong>",Patut Abbraccio Bianco,patut-abbraccio-3,Colectia Abbraccio|Patuturi,,1,http://www.camerabebelusului.ro/wp-content/uploads/2013/08/PAT-COPII-ALB-ABBRACIO-ITALIA.png,In stoc,1320,112017,,,,,,1188
"<strong>Dimensiuni

L 81 cm
P 48 cm
H 100,5 cm</strong>",Comoda Abbraccio Bianco,comoda-abbraccio-2,Colectia Abbraccio|Comode,,1,http://www.camerabebelusului.ro/wp-content/uploads/2013/08/COMODA-BEBELUSI-ABBRACCIO-ERBESI-ITALIA.png,In stoc,1200,112018,,,,,,1080
"Mobila camera bebelusi fetite baietel lemn alb, gri patut bebe cu roti, dulap bebelus cu doua usi, comoda cabinet bebe alba gri cu sertare si masuta de infasat. ",Colectia Cucu,camera-bebe-cucu,,,1,http://www.camerabebelusului.ro/wp-content/uploads/2013/08/Cucu_bianca_1370012161097993100.jpg,In stoc,,,,,,,,1247
